cntry,anweight,happy,inprdsc,health,hlthhmp,rlgdgr,brncntr,gndr,agea,rshpsts,domicil,edulvlb,eduyrs,uempla,uempli,rtrd,hswrk,emplrel,wrkctra,estsz,wkdcorga,wkhtot,nacer2,tporgwk,uemp3m,hincsrca,hinctnta,emprelp,atncrse,stfmjob,trdawrk,jbprtfp,pfmfdjba,dcsfwrka,stfmjob_grouped,stfmjob_named
DE,0.8430712,8,2,Fair,True,8,True,0,56,Legally married,Country village,Upper Secondary Education,13,False,False,False,False,Employee,Unlimited,4,7,38,Manufacturing,A private firm,False,Wages or salaries,9,Employee,False,8,Often,Often,Often,Hardly ever,4,Somewhat Satisfied
DE,0.6202814,9,4,Very good,False,3,True,0,41,Legally married,Town or small city,Tertiary Education,19,False,False,False,True,Employee,Unlimited,1,9,25,Intellectual Work,A private firm,False,Income from self-employment (excluding farming),9,Self-employed,True,6,Hardly ever,Sometimes,Hardly ever,Sometimes,3,Neutral
DE,0.5310751,8,3,Good,False,5,True,1,58,Legally married,Country village,Tertiary Education,18,False,False,False,True,Employee,Unlimited,1,8,38,Service & Administration,N/A,False,Income from self-employment (excluding farming),9,Self-employed,True,7,Sometimes,Sometimes,Sometimes,Hardly ever,4,Somewhat Satisfied
DE,0.87498605,8,2,Bad,True,0,True,0,55,Legally married,Town or small city,Upper Secondary Education,13,False,False,False,True,Employee,Unlimited,5,7,36,Manufacturing,A private firm,False,Wages or salaries,8,Self-employed,True,8,Often,Never,Never,Hardly ever,4,Somewhat Satisfied
DE,0.9142216,7,4,Very good,False,8,True,1,44,Legally married,Town or small city,Upper Secondary Education,11,False,False,False,False,Employee,Unlimited,2,3,25,Intellectual Work,Other public sector (ex. education and health),False,Wages or salaries,7,Employee,True,10,Sometimes,Never,Often,Hardly ever,5,Very Satisfied
DE,0.49000242,9,6,Very good,False,6,True,1,30,Living with my partner - not legally recognised,A big city,Tertiary Education,20,False,False,False,False,Employee,Limited,4,3,43,Intellectual Work,Other public sector (ex. education and health),False,Wages or salaries,9,Employee,True,8,Often,Often,Sometimes,Never,4,Somewhat Satisfied
DE,0.9116449,10,2,Fair,True,2,True,1,41,Legally married,Suburbs or outskirts of big city,Upper Secondary Education,12,False,False,False,False,Employee,Unlimited,3,8,20,Intellectual Work,Other public sector (ex. education and health),False,Wages or salaries,5,Employee,False,7,Sometimes,Sometimes,Never,Sometimes,4,Somewhat Satisfied
DE,0.47940874,8,3,Good,False,8,True,0,57,Legally married,Country village,Tertiary Education,20,False,False,False,True,Employee,Unlimited,2,8,55,Service & Administration,A private firm,False,Wages or salaries,10,Employee,False,7,Often,Often,Often,Sometimes,4,Somewhat Satisfied
DE,0.8430712,7,1,Good,False,6,True,0,64,Legally married,Farm or home in countryside,Upper Secondary Education,13,False,True,False,False,Employee,Unlimited,3,5,45,Physical Work,A private firm,True,Wages or salaries,10,Employee,False,6,Often,Often,Often,Never,3,Neutral
DE,0.49497455,8,3,Fair,True,4,True,0,60,Legally married,Suburbs or outskirts of big city,Tertiary Education,15,False,False,False,False,Employee,Unlimited,5,7,45,Manufacturing,A private firm,False,Wages or salaries,10,Employee,True,8,Sometimes,Sometimes,Never,Hardly ever,4,Somewhat Satisfied
DE,0.5649073,7,2,Good,False,1,True,1,48,Legally married,Suburbs or outskirts of big city,Tertiary Education,18,False,False,False,False,Employee,Unlimited,4,10,40,Service & Administration,A private firm,False,Wages or salaries,10,Employee,False,8,Hardly ever,Hardly ever,Hardly ever,Hardly ever,4,Somewhat Satisfied
DE,0.48281974,9,3,Fair,True,6,True,0,55,Legally married,Country village,Upper Secondary Education,11,False,False,False,False,Employee,Unlimited,4,4,8,Service & Administration,A private firm,False,Wages or salaries,8,Employee,False,7,Sometimes,Sometimes,Sometimes,Hardly ever,4,Somewhat Satisfied
DE,1.028501,9,4,Very good,False,1,True,0,30,Living with my partner - not legally recognised,Suburbs or outskirts of big city,Post-Secondary Non-Tertiary Education,15,False,False,False,False,Employee,Unlimited,3,7,7,Intellectual Work,A private firm,False,Wages or salaries,7,Employee,True,9,Hardly ever,Hardly ever,Hardly ever,Never,5,Very Satisfied
DE,0.531104,8,3,Very good,False,1,True,1,28,Living with my partner - not legally recognised,A big city,Tertiary Education,19,False,False,False,False,Employee,Limited,4,10,28,Intellectual Work,Other public sector (ex. education and health),False,Wages or salaries,9,Employee,True,8,Hardly ever,Hardly ever,Never,Sometimes,4,Somewhat Satisfied
DE,0.611978,7,4,Good,False,0,True,1,38,Legally married,Town or small city,Tertiary Education,16,False,False,False,False,Employee,Unlimited,3,8,40,Intellectual Work,Other public sector (ex. education and health),True,Wages or salaries,8,Employee,True,10,Sometimes,Hardly ever,Never,Hardly ever,5,Very Satisfied
